supplier_code,field,synonym
1100-1-00,Bulk,true
1100-1-00,Cas,589-81-1
1100-1-00,Cylinder,false
1100-1-00,Formula,C8H18
1100-1-00,Mdl Number,MFCD00027244
1100-1-00,Mol Weight,114.2285
1100-1-00,Name 1,3-Methylheptane
1100-1-00,Price Us 1,0
1100-1-00,Purity,97
1100-1-00,Purity category,Very high
1100-1-00,Screening,false
1100-1-00,StandardizerResult,Clean 2D (ID: Clean 2D)
1100-1-00,Unit Us 1,POA
1100-1-00,Url Sql Com,http://synquestlabs.com/product/id/89714.html
1100-1-01,Boiling Point,9.5
1100-1-01,Bulk,true
1100-1-01,Cas,463-82-1
1100-1-01,Cylinder,true
1100-1-01,Density,0.613
1100-1-01,Density Temperature,0
1100-1-01,Dothc,2.1
1100-1-01,Dotpg,N/A
1100-1-01,Flash Point,-7.15
1100-1-01,Formula,C5H12
1100-1-01,Mdl Number,MFCD00039840
1100-1-01,Melting Point,-16.4
1100-1-01,Mol Weight,72.1488
1100-1-01,Name 1,"2,2-Dimethylpropane"
1100-1-01,Price Us 1,65
1100-1-01,Price Us 2,195
1100-1-01,Price Us 3,495
1100-1-01,Price Us 4,1195
1100-1-01,Purity,97
1100-1-01,Purity category,Very high
1100-1-01,Screening,false
1100-1-01,Ships within,1 week
1100-1-01,StandardizerResult,Clean 2D (ID: Clean 2D)
1100-1-01,Synonyms 1,"Neopentane; tert-Pentane; Tetramethylcarbon; Tetramethylmethane; 1,1,1-Trimethylethane; 2,2-Dimethylpropane; Neo-C5H12"
1100-1-01,Un,2044
